"x","y","year"
144.026249451938,-38.0179163107584,"2020"
144.026249451938,-38.0145829774385,"2015"
144.026249451938,-37.5829163125091,"2025"
144.026249451938,-37.5812496458492,"2020"
144.027916118598,-38.0845829771568,"2030"
144.027916118598,-38.0312496440381,"2025"
144.027916118598,-38.0279163107182,"2015"
144.027916118598,-38.0262496440582,"2015"
144.027916118598,-38.0212496440783,"2015"
144.027916118598,-38.0195829774184,"2015"
144.027916118598,-38.0179163107584,"2020"
144.027916118598,-38.0145829774385,"2015"
144.027916118598,-37.6895829787465,"2030"
144.027916118598,-37.6879163120865,"2030"
144.027916118598,-37.5829163125091,"2010"
144.027916118598,-37.5579163126097,"2025"
144.027916118598,-37.4295829797929,"1980"
144.027916118598,-37.4279163131329,"2005"
144.029582785258,-38.0262496440582,"2005"
144.029582785258,-38.0162496440985,"2020"
144.029582785258,-38.0145829774385,"2020"
144.029582785258,-37.7779163117243,"2000"
144.029582785258,-37.4612496463321,"2015"
144.029582785258,-37.4295829797929,"1975"
144.029582785258,-37.3729163133543,"1990"
144.029582785258,-37.1779163141391,"2020"
144.031249451918,-38.0245829773983,"1990"
144.031249451918,-38.0145829774385,"2020"
144.031249451918,-37.7279163119256,"2020"
144.031249451918,-37.4295829797929,"2025"
144.031249451918,-37.1912496474188,"1990"
144.032916118578,-38.034582977358,"2010"
144.032916118578,-38.0329163106981,"1995"
144.032916118578,-38.0312496440381,"2000"
144.032916118578,-38.0245829773983,"2010"
144.032916118578,-38.0179163107584,"2025"
144.034582785238,-38.0262496440582,"2010"
144.034582785238,-38.0245829773983,"2005"
144.034582785238,-38.0195829774184,"2015"
144.034582785238,-38.0162496440985,"2005"
144.034582785238,-37.7162496453058,"2030"
144.034582785238,-37.5695829792294,"2030"
144.034582785238,-37.2812496470565,"1990"
144.036249451898,-38.1112496437161,"2010"
144.036249451898,-38.0262496440582,"2010"
144.036249451898,-38.0245829773983,"2005"
144.036249451898,-38.0179163107584,"2030"
144.036249451898,-38.0129163107785,"2010"
144.036249451898,-37.3945829799338,"2020"
144.036249451898,-37.3895829799539,"2005"
144.036249451898,-37.384582979974,"2010"
144.036249451898,-37.344582980135,"2020"
144.037916118558,-38.034582977358,"2025"
144.037916118558,-38.0262496440582,"2000"
144.037916118558,-38.0212496440783,"2025"
144.037916118558,-38.0162496440985,"2010"
144.037916118558,-38.0129163107785,"2000"
144.037916118558,-37.5295829793904,"2025"
144.037916118558,-37.3762496466742,"1990"
144.039582785218,-38.1029163104163,"2030"
144.039582785218,-38.034582977358,"2020"
144.039582785218,-38.0162496440985,"2015"
144.039582785218,-38.0129163107785,"2010"
144.039582785218,-37.7212496452857,"2025"
144.039582785218,-37.3512496467748,"2000"
144.041249451878,-38.0279163107182,"2000"
144.041249451878,-38.0162496440985,"2015"
144.041249451878,-37.7229163119457,"2020"
144.041249451878,-37.1545829808996,"2020"
144.042916118538,-38.1195829770159,"2030"
144.042916118538,-38.1045829770763,"2020"
144.042916118538,-38.0295829773781,"1990"
144.042916118538,-38.0279163107182,"1975"
144.042916118538,-38.0195829774184,"2020"
144.042916118538,-38.0162496440985,"2020"
