"x","y","year"
144.483749450126,-38.0204163107484,"2030"
144.490416116766,-38.280416309702,"1975"
144.490416116766,-38.2737496430621,"1990"
144.490416116766,-38.2670829764223,"1995"
144.510416116687,-38.2604163097825,"2010"
144.517082783327,-38.2670829764223,"1975"
144.517082783327,-38.2604163097825,"1975"
144.523749449967,-38.2670829764223,"1975"
144.523749449967,-38.2604163097825,"1975"
144.530416116608,-38.2670829764223,"1975"
144.530416116608,-38.2604163097825,"1975"
144.537082783248,-38.2670829764223,"1995"
144.537082783248,-38.2604163097825,"2000"
144.537082783248,-38.2537496431426,"2015"
144.543749449888,-38.2670829764223,"1975"
144.543749449888,-38.2604163097825,"2000"
144.543749449888,-38.2537496431426,"2020"
144.543749449888,-38.240416309863,"2020"
144.543749449888,-38.1670829768248,"2030"
144.543749449888,-37.6937496453964,"2015"
144.543749449888,-37.6804163121167,"2005"
144.543749449888,-37.6737496454769,"2015"
144.543749449888,-37.6670829788371,"2015"
144.550416116528,-38.2670829764223,"1995"
144.550416116528,-38.2604163097825,"1980"
144.550416116528,-38.2537496431426,"2010"
144.550416116528,-38.1604163101849,"2020"
144.550416116528,-37.7070829786761,"2015"
144.550416116528,-37.7004163120362,"2015"
144.550416116528,-37.6937496453964,"2015"
144.550416116528,-37.6804163121167,"2000"
144.550416116528,-37.6737496454769,"2010"
144.550416116528,-37.6670829788371,"2015"
144.557082783169,-38.1604163101849,"1975"
144.557082783169,-37.7004163120362,"2000"
144.557082783169,-37.6937496453964,"2005"
144.557082783169,-37.6804163121167,"1975"
144.557082783169,-37.6737496454769,"1975"
144.557082783169,-37.6670829788371,"2015"
144.563749449809,-38.1737496434646,"2015"
144.563749449809,-38.1604163101849,"1975"
144.563749449809,-37.6937496453964,"2015"
144.563749449809,-37.6870829787566,"2020"
144.563749449809,-37.6804163121167,"1975"
144.563749449809,-37.6737496454769,"1975"
144.563749449809,-37.6670829788371,"2020"
144.570416116449,-38.1804163101044,"2015"
144.570416116449,-38.1737496434646,"1980"
144.570416116449,-38.1670829768248,"1995"
144.570416116449,-38.1604163101849,"1990"
