"suburb","pop_density","year"
"Korumburra",49.68,1985
"Korumburra South",3.6,1985
"Korweinguboora",3.11,1985
"Krowera",2.63,1985
"Kurunjang",375.76,1985
"Kyneton",43.92,1985
"Kyneton South",3.22,1985
"Labertouche",4.06,1985
"Lake Eildon",0.09,1985
"Lal Lal",7.2,1985
"Lalor",1841.29,1985
"Lance Creek",3.46,1985
"Lancefield",12.11,1985
"Lang Lang",7.92,1985
"Lang Lang East",3.54,1985
"Langdons Hill",3.34,1985
"Langley",1.81,1985
"Langwarrin",524.69,1985
"Langwarrin South",91.28,1985
"Lara",117.83,1985
"Lardner",5.55,1985
"Launching Place",68.38,1985
"Lauriston",4.64,1985
"Laverton",628.71,1985
"Laverton North",4.2,1985
"Leonards Hill",3.74,1985
"Leongatha",91.35,1985
"Leongatha North",4.35,1985
"Leongatha South",2.87,1985
"Leopold",261.58,1985
"Lerderderg",0.03,1985
"Lethbridge",6.9,1985
"Lillico",11.9,1985
"Lilydale",456.57,1985
"Limestone",0.48,1985
"Little Hampton",6.87,1985
"Little River",4.15,1985
"Loch",5.83,1985
"Loch Valley",0.01,1985
"Long Forest",14.71,1985
"Longwarry",18.6,1985
"Longwarry North",8.32,1985
"Lorne",7.79,1985
"Lovely Banks",62.87,1985
"Lower Plenty",580.57,1985
"Lynbrook",51.76,1985
"Lyndhurst",14.15,1985
"Lyonville",2.41,1985
"Lysterfield",169.03,1985
"Lysterfield South",170.38,1985
"Macclesfield",32.57,1985
"Macedon",51.25,1985
"Macleod",1805.7,1985
"Maddingley",40.68,1985
"Maidstone",1482.43,1985
"Main Ridge",14.63,1985
"Maintongoon",1.35,1985
"Malmsbury",14.71,1985
"Malvern",2948.75,1985
"Malvern East",2402.21,1985
"Mambourin",0.16,1985
"Manifold Heights",2697.33,1985
"Mannerim",1.69,1985
"Manor Lakes",52.62,1985
"Marcus Hill",3.8,1985
"Maribyrnong",686.21,1985
"Marshall",372.88,1985
"Maryknoll",95.23,1985
"Marysville",1.27,1985
"Maude",2.21,1985
"McCrae",431.55,1985
"McKinnon",2911.94,1985
"McMahons Creek",0.36,1985
"Meadow Heights",2869.33,1985
"Meeniyan",10.28,1985
"Melbourne",1163.85,1985
"Melbourne Airport",8.19,1985
"Melton",155.88,1985
"Melton South",626.9,1985
"Melton West",249.57,1985
"Mentone",2309.42,1985
"Menzies Creek",138.99,1985
"Meredith",2.3,1985
"Mernda",14.75,1985
"Merricks",12.66,1985
"Merricks Beach",23.86,1985
"Merricks North",14.34,1985
"Merrimu",6.83,1985
"Metcalfe East",2.74,1985
"Mickleham",6.93,1985
"Middle Park",3089.95,1985
"Middle Tarwin",2.01,1985
"Mill Park",2017.97,1985
"Millbrook",5.71,1985
"Millgrove",179.26,1985
"Mitcham",2165.51,1985
"Modella",3.7,1985
"Modewarre",4.25,1985
"Moggs Creek",11.58,1985
"Molesworth",0.84,1985
"Mollongghip",3.66,1985
"Monbulk",199.35,1985
"Monegeetta",5.96,1985
"Monomeith",1.69,1985
"Mont Albert",2532.9,1985
"Mont Albert North",2212.54,1985
"Montmorency",2302.69,1985
"Montrose",642.23,1985
"Moolap",31.91,1985
"Moonee Ponds",2615.68,1985
"Moorabbin",764.25,1985
"Moorabbin Airport",2.43,1985
"Moorabool",4.33,1985
"Moorooduc",17.08,1985
"Mooroolbark",1540.77,1985
"Moranding",2.06,1985
"Mordialloc",1234.54,1985
"Moriac",31.98,1985
"Mornington",626.45,1985
"Morrisons",1.22,1985
"Mount Burnett",15.02,1985
"Mount Cottrell",0.83,1985
"Mount Dandenong",150.6,1985
"Mount Doran",8.49,1985
"Mount Duneed",7.84,1985
"Mount Eccles",3.34,1985
"Mount Eccles South",2.63,1985
"Mount Egerton",8.83,1985
"Mount Eliza",556.27,1985
"Mount Evelyn",556.6,1985
"Mount Franklin",3.55,1985
"Mount Macedon",40.85,1985
"Mount Martha",259.73,1985
"Mount Moriac",4.69,1985
"Mount Prospect",3.75,1985
"Mount Toolebewong",2.39,1985
"Mount Wallace",1.26,1985
"Mount Waverley",1911.25,1985
"Mountain View",3.57,1985
"Moyarra",4.65,1985
"Mulgrave",1442.58,1985
"Murgheboluc",1.04,1985
"Murrindindi",0.42,1985
"Murrumbeena",2858.98,1985
"Musk",7.86,1985
"Musk Vale",1.04,1985
"Myrniong",4.68,1985
"Nangana",8.12,1985
"Nar Nar Goon",11.53,1985
"Nar Nar Goon North",10.47,1985
"Narbethong",1.01,1985
"Narre Warren",1507.1,1985
"Narre Warren East",39.11,1985
"Narre Warren North",196.21,1985
"Narre Warren South",486.43,1985
"Nayook",6.97,1985
"Neerim",9.24,1985
"Neerim East",1.48,1985
"Neerim Junction",7.99,1985
"Neerim North",2.57,1985
"Neerim South",15.35,1985
"Nerrena",4.05,1985
"New Gisborne",61.66,1985
"Newbury",7.39,1985
"Newcomb",1111.24,1985
"Newham",7.8,1985
"Newhaven",35.68,1985
"Newlyn",6.39,1985
"Newlyn North",6.46,1985
"Newport",1943.91,1985
"Newtown",1671.03,1985
"Niddrie",2457.84,1985
"Nilma",52.34,1985
"Nilma North",6.45,1985
"Noble Park",2811.58,1985
"Noble Park North",2176.87,1985
"Noojee",0.91,1985
"Norlane",1651.11,1985
"North Blackwood",3.01,1985
"North Geelong",459.87,1985
"North Melbourne",1805.06,1985
"North Shore",167.6,1985
"North Warrandyte",354.25,1985
"North Wonthaggi",156.86,1985
"Northcote",3131.49,1985
"Notting Hill",984.24,1985
"Nulla Vale",1.13,1985
"Nunawading",2061.67,1985
"Nutfield",21.92,1985
"Nyora",12.77,1985
"Oak Park",2348.71,1985
"Oaklands Junction",4.65,1985
"Oakleigh",1857.96,1985
"Oakleigh East",2504.78,1985
"Oakleigh South",1332.03,1985
"Ocean Grove",388.3,1985
"Officer",12.59,1985
"Officer South",1.94,1985
"Olinda",93.63,1985
"Ormond",2829.7,1985
"Outtrim",3.06,1985
"Pakenham",64.95,1985
"Pakenham South",5.76,1985
"Pakenham Upper",22,1985
"Panton Hill",55.6,1985
"Paraparap",3.83,1985
"Park Orchards",402.67,1985
"Parkdale",2372.17,1985
"Parkville",754.45,1985
"Parwan",2.59,1985
"Pascoe Vale",2450.15,1985
"Pascoe Vale South",2592.29,1985
"Pastoria",0.78,1985
"Pastoria East",0.94,1985
"Patterson Lakes",1448.01,1985
"Pearcedale",65.37,1985
"Pentland Hills",3.69,1985
"Pheasant Creek",14.95,1985
"Piedmont",6.26,1985
"Pioneer Bay",1056.08,1985
"Pipers Creek",4.22,1985
"Plenty",159.17,1985
"Plumpton",1.31,1985
"Point Cook",9.01,1985
"Point Leo",40.11,1985
"Point Lonsdale",140.27,1985
"Point Wilson",0.05,1985
"Poowong",8.76,1985
"Poowong East",2.83,1985
"Poowong North",3.83,1985
"Porcupine Ridge",3.42,1985
"Port Melbourne",753.28,1985
"Portarlington",74.45,1985
"Portsea",29.21,1985
"Pound Creek",2.62,1985
"Powelltown",4.37,1985
"Prahran",4859.83,1985
"Preston",2208.88,1985
"Princes Hill",4339.86,1985
"Pyalong",4.23,1985
"Quandong",0.13,1985
"Queenscliff",260.48,1985
"Queensferry",6.42,1985
"Ranceby",2.53,1985
"Ravenhall",54.33,1985
"Red Hill",36.31,1985
"Red Hill South",33.05,1985
"Reedy Creek",2.32,1985
"Reefton",0.26,1985
"Research",330.85,1985
"Reservoir",2253.69,1985
"Rhyll",20.12,1985
"Richmond",4098.57,1985
"Riddells Creek",43.57,1985
"Ringwood",1503.47,1985
"Ringwood East",1878.96,1985
"Ringwood North",1853.92,1985
"Ripplebrook",4.96,1985
"Rippleside",1722.85,1985
"Ripponlea",4077.15,1985
"Rochford",4.31,1985
"Rockbank",37.13,1985
"Rocklyn",4.43,1985
"Rokeby",25,1985
"Romsey",39.6,1985
"Rosanna",2173.33,1985
"Rosebud",509.78,1985
"Rowsley",2.34,1985
"Rowville",1356.59,1985
"Roxburgh Park",759.51,1985
"Rubicon",0.26,1985
"Ruby",6.32,1985
"Russells Bridge",2.07,1985
"Ryanston",3.19,1985
"Rye",338.66,1985
"Rythdale",3.65,1985
"Safety Beach",393.74,1985
"Sailors Falls",11.5,1985
"Sailors Hill",3.67,1985
"San Remo",49.54,1985
"Sandhurst",140.71,1985
"Sandon",1.21,1985
"Sandringham",2218.06,1985
"Sassafras",232.91,1985
"Scoresby",690.12,1985
"Seabrook",3139.91,1985
"Seaford",1206.14,1985
"Seaholme",2033.53,1985
"Seaview",2.86,1985
"Seddon",4046.74,1985
"Selby",294.57,1985
"Seville",104.41,1985
"Seville East",81.9,1985
"She Oaks",3.48,1985
"Shelford",0.77,1985
"Shepherds Flat",2.03,1985
"Sherbrooke",57.8,1985
"Shoreham",30.12,1985
"Sidonia",0.69,1985
"Silvan",44.26,1985
"Silverleaves",73.44,1985
"Skye",72.24,1985
"Smeaton",1.95,1985
"Smiths Beach",109.39,1985
"Smiths Gully",28.65,1985
"Somers",69.15,1985
"Somerton",16.88,1985
"Somerville",202.26,1985
"Sorrento",150.83,1985
"South Dudley",175.48,1985
"South Geelong",484.63,1985
"South Kingsville",2257.57,1985
"South Melbourne",2797.94,1985
"South Morang",51.23,1985
"South Wharf",27.92,1985
"South Yarra",3561.78,1985
"Southbank",1105.66,1985
"Spargo Creek",2.8,1985
"Spotswood",627.81,1985
"Spring Hill",3.61,1985
"Springbank",4.24,1985
"Springfield",2.43,1985
"Springvale",1540.25,1985
"Springvale South",2362.45,1985
"St Albans",2568.58,1985
"St Albans Park",1076.27,1985
"St Andrews",29.26,1985
"St Andrews Beach",212.3,1985
"St Clair",3.76,1985
"St Helena",2045.14,1985
"St Kilda",3826.49,1985
"St Kilda East",4486.37,1985
"St Kilda West",3370.34,1985
"St Leonards",41.78,1985
"Staughton Vale",1.27,1985
"Steels Creek",5.75,1985
"Steiglitz",0.75,1985
"Stonehaven",1.36,1985
"Strangways",3.87,1985
"Strath Creek",1.2,1985
"Strathewen",7.32,1985
"Strathlea",1.01,1985
"Strathmore",2314.63,1985
"Strathmore Heights",1373.92,1985
"Strathtulloh",1.59,1985
"Strzelecki",2.11,1985
"Sugarloaf Creek",2.81,1985
"Summerlands",0.97,1985
"Sunbury",167.47,1985
"Sunday Creek",6.31,1985
"Sunderland Bay",110.82,1985
"Sunset Strip",413.54,1985
"Sunshine",1455.04,1985
"Sunshine North",1201.47,1985
"Sunshine West",1602.07,1985
"Surf Beach",85.08,1985
"Surrey Hills",2807.26,1985
"Sutherlands Creek",2.92,1985
"Swan Bay",0.68,1985
"Swan Island",2.65,1985
"Sydenham",1732.13,1985
"Taggerty",2.42,1985
"Tallarook",3.21,1985
"Tantaraboo",2.53,1985
"Taradale",6.96,1985
"Tarilta",5.75,1985
"Tarneit",10.21,1985
"Tarrawarra",5.32,1985
"Tarwin",1.45,1985
"Tarwin Lower",1.44,1985
"Taylor Bay",3.12,1985
"Taylors Hill",86.36,1985
"Taylors Lakes",1822.82,1985
"Tecoma",1314.77,1985
"Teesdale",16.1,1985
"Templestowe",1088.22,1985
"Templestowe Lower",2356.59,1985
"Tenby Point",21.53,1985
"Tetoora Road",4.56,1985
"The Basin",834.77,1985
"The Gurdies",4.46,1985
"The Patch",256.56,1985
"Thomastown",1262.88,1985
"Thomson",1631.85,1985
"Thornbury",3105.6,1985
"Thornhill Park",3.07,1985
"Thornton",3.8,1985
"Three Bridges",6.49,1985
"Tonimbuk",3.21,1985
"Toolangi",2.93,1985
"Toolern Vale",3.12,1985
"Tooradin",28.86,1985
"Toorak",2859.12,1985
"Tootgarook",552.33,1985
"Torquay",116.93,1985
"Torwood",4.19,1985
"Tottenham",17.94,1985
"Travancore",2968.45,1985
"Trawool",1.61,1985
"Tremont",56.44,1985
"Trentham",15.83,1985
"Trentham East",3.2,1985
"Trida",1.47,1985
"Truganina",3.33,1985
"Tuerong",7.7,1985
"Tullamarine",835.83,1985
"Tyaak",3.28,1985
"Tyabb",97.11,1985
"Tylden",7.04,1985
"Tylden South",7.03,1985
"Tynong",16.06,1985
"Tynong North",5.58,1985
"Upper Ferntree Gully",952.92,1985
"Upper Plenty",4.4,1985
"Upwey",1200.69,1985
"Vaughan",3.61,1985
"Ventnor",10.28,1985
"Venus Bay",27.41,1985
"Vermont",2064.24,1985
"Vermont South",2066.45,1985
"Vervale",6.18,1985
"Viewbank",1573.96,1985
"Wallace",10.49,1985
"Wallan",49.89,1985
"Wallington",19.92,1985
"Wandana Heights",586.58,1985
"Wandin East",46.06,1985
"Wandin North",168.64,1985
"Wandong",13.97,1985
"Wantirna",1847.93,1985
"Wantirna South",1316.1,1985
"Warburton",16.41,1985
"Warneet",80.19,1985
"Warragul",183.55,1985
"Warragul South",6.77,1985
"Warragul West",8.37,1985
"Warrandyte",312.81,1985
"Warrandyte South",150.98,1985
"Warranwood",1523.13,1985
"Waterford Park",441.43,1985
"Waterways",549.82,1985
"Watsonia",2386.75,1985
"Watsonia North",2868.14,1985
"Watsons Creek",32.21,1985
"Wattle Bank",3.95,1985
"Wattle Glen",192.04,1985
"Waurn Ponds",106.18,1985
"Weir Views",2.02,1985
"Wensleydale",0.56,1985
"Werona",1.12,1985
"Werribee",455.49,1985
"Werribee South",23.49,1985
"Wesburn",27.99,1985
"West Creek",2.57,1985
"West Footscray",2165.63,1985
"West Melbourne",214.49,1985
"Westmeadows",1092.42,1985
"Whanregarwen",1.36,1985
"Wheatsheaf",5.43,1985
"Wheelers Hill",2113.64,1985
"Whitelaw",5.86,1985
"Whittington",2340.74,1985
"Whittlesea",25.11,1985
"Wild Dog Valley",3.23,1985
"Wildwood",5.85,1985
"Williams Landing",37.47,1985
"Williamstown",2107.11,1985
"Williamstown North",780.77,1985
"Willowmavin",2.08,1985
"Wimbledon Heights",550.28,1985
"Winchelsea",6.01,1985
"Winchelsea South",2.36,1985
"Windsor",5180.68,1985
"Wollert",5.1,1985
"Wonga Park",170.97,1985
"Wonthaggi",59.19,1985
"Woodend",55.02,1985
"Woodend North",6.95,1985
"Woodleigh",3.63,1985
"Woodstock",3.49,1985
"Woolamai",3.51,1985
"Wooreen",4.07,1985
"Woori Yallock",116.42,1985
"Wurdiboluc",4.1,1985
"Wyndham Vale",90.07,1985
"Yallambie",1303.87,1985
"Yan Yean",5.43,1985
"Yandoit",3.43,1985
"Yandoit Hills",1.46,1985
"Yannathan",2.88,1985
"Yarra Glen",66.49,1985
"Yarra Junction",138.97,1985
"Yarrambat",80.73,1985
"Yarraville",1834.2,1985
"Yea",7.43,1985
"Yellingbo",12.78,1985
"Yendon",10.83,1985
"Yering",4.88,1985
"Yuroke",7.19,1985
"Abbotsford",1994.2,1990
"Aberfeldie",2182.67,1990
"Acheron",1.95,1990
"Ada",0,1990
"Adams Estate",77,1990
"Aintree",0.98,1990
"Aireys Inlet",30.22,1990
"Airport West",1852.03,1990
"Albanvale",3234.94,1990
"Albert Park",1657.4,1990
"Albion",1456.39,1990
"Alexandra",30.12,1990
"Allambee",1.94,1990
"Almurta",2.48,1990
"Alphington",1546.79,1990
"Altona",653.52,1990
"Altona Meadows",1836.14,1990
"Altona North",848.29,1990
"Anakie",2.85,1990
"Anderson",3.99,1990
"Anglesea",21.66,1990
"Arawata",5.49,1990
"Archies Creek",27.3,1990
"Ardeer",1186.58,1990
"Armadale",3776.16,1990
"Armstrong Creek",6.44,1990
"Arthurs Creek",12.46,1990
"Arthurs Seat",32.61,1990
"Ascot Vale",3071.43,1990
"Ashbourne",3.55,1990
"Ashburton",2301.23,1990
"Ashwood",1906.28,1990
"Aspendale",1992.21,1990
"Aspendale Gardens",1031.38,1990
"Athlone",3.08,1990
"Attwood",686.38,1990
"Avalon",3.87,1990
"Avondale Heights",2324.23,1990
"Avonsleigh",93.37,1990
"Bacchus Marsh",288.9,1990
"Badger Creek",137.82,1990
"Balaclava",5602.58,1990
"Ballan",14.17,1990
"Balliang",1.44,1990
"Balliang East",1.78,1990
"Balnarring",53.37,1990
"Balnarring Beach",184.78,1990
"Balwyn",2860.54,1990
"Balwyn North",2220.09,1990
"Bambra",2.35,1990
"Bamganie",1.24,1990
"Bangholme",26.43,1990
"Bannockburn",17.53,1990
"Barkstead",0.77,1990
"Barrabool",5.66,1990
"Barrys Reef",1.64,1990
"Barwon Heads",343.86,1990
"Basalt",1.27,1990
"Bass",4.51,1990
"Batesford",22.88,1990
"Baxter",167.67,1990
"Bayles",11.93,1990
"Baynton",0.69,1990
"Bayswater",1386.28,1990
"Bayswater North",1232.67,1990
"Beaconsfield",150.43,1990
"Beaconsfield Upper",79.81,1990
"Beaumaris",2396.01,1990
"Beenak",3.62,1990
"Belgrave",1074.12,1990
"Belgrave Heights",670.7,1990
"Belgrave South",144.06,1990
"Bell Park",1654.37,1990
"Bell Post Hill",897.13,1990
"Bellarine",6.68,1990
"Bellbrae",7.7,1990
"Bellfield",1861.27,1990
"Bells Beach",6.44,1990
"Belmont",1612.68,1990
"Bena",6.09,1990
"Bend of Islands",37.25,1990
"Benloch",4.17,1990
"Bentleigh",2766.94,1990
"Bentleigh East",2507.28,1990
"Beremboke",1.85,1990
"Berwick",610.86,1990
"Beveridge",5.39,1990
"Big Hill",0.73,1990
"Big Pats Creek",9.53,1990
"Bittern",144.63,1990
"Black Rock",1658.24,1990
"Blackburn",2019.39,1990
"Blackburn North",2460.55,1990
"Blackburn South",2853.46,1990
"Blackwood",5.21,1990
"Blairgowrie",278.14,1990
"Blakeville",0.19,1990
"Blampied",3.63,1990
"Blind Bight",152.48,1990
"Bolinda",4.14,1990
"Bolwarrah",1.93,1990
"Bona Vista",6.45,1990
"Bonbeach",1663.7,1990
"Boneo",9.39,1990
"Bonnie Brook",2.57,1990
"Boonah",0.39,1990
"Boronia",1938.2,1990
"Botanic Ridge",79.36,1990
"Box Hill",2271.07,1990
"Box Hill North",2586.41,1990
"Box Hill South",1844.22,1990
"Braeside",9.96,1990
"Brandy Creek",11.79,1990
"Bravington",14.83,1990
"Braybrook",1314.82,1990
"Breakwater",267.27,1990
"Breamlea",45.36,1990
"Briar Hill",2512.79,1990
"Brighton",2465.76,1990
"Brighton East",2458.96,1990
"Broadford",21.91,1990
"Broadmeadows",1198.12,1990
"Brookfield",295.35,1990
"Brooklyn",325.9,1990
"Brunswick",3598.98,1990
"Brunswick East",2961.33,1990
"Brunswick West",3598.92,1990
"Buckley",3.04,1990
"Buffalo",2.21,1990
"Bulla",12.79,1990
"Bullarook",3.73,1990
"Bullarto",4.49,1990
"Bullarto South",3.59,1990
"Bulleen",1718.92,1990
"Bullengarook",6.22,1990
"Buln Buln",24.13,1990
"Buln Buln East",6.63,1990
"Bunding",6.09,1990
"Bundoora",1101.61,1990
"Bungal",1.55,1990
"Bungaree",10.02,1990
"Bunyip",67.62,1990
"Bunyip North",5.68,1990
"Burnley",607.55,1990
"Burnside",136.2,1990
"Burnside Heights",262.37,1990
"Burwood",1866.99,1990
"Burwood East",2399.19,1990
"Buxton",7.48,1990
"Bylands",3.6,1990
"Cadello",4.71,1990
"Cairnlea",33.03,1990
"Calder Park",17.39,1990
"Caldermeade",2.62,1990
"Cambarville",0.02,1990
"Camberwell",2763.29,1990
"Campbellfield",394.81,1990
"Campbelltown",0.79,1990
"Cannons Creek",51.41,1990
"Canterbury",2509.09,1990
"Cape Paterson",35.16,1990
"Cape Schanck",12.81,1990
"Cape Woolamai",144.35,1990
"Capel Sound",734.45,1990
"Cardinia",7.82,1990
"Carlsruhe",5.53,1990
"Carlton",3115.67,1990
"Carlton North",3411.23,1990
"Carnegie",3587.06,1990
"Caroline Springs",132.1,1990
"Carrum",2077.94,1990
"Carrum Downs",674.42,1990
"Castella",10.51,1990
"Catani",4.72,1990
"Cathkin",0.83,1990
"Caulfield",3082.87,1990
"Caulfield East",954.5,1990
"Caulfield North",3201.32,1990
"Caulfield South",3106.78,1990
"Ceres",13.88,1990
"Chadstone",2115.58,1990
"Charlemont",22.83,1990
"Chelsea",2310.62,1990
"Chelsea Heights",1862.62,1990
"Cheltenham",1787.95,1990
"Cherokee",5.96,1990
"Chintin",2.68,1990
"Chirnside Park",402.6,1990
"Christmas Hills",7.36,1990
"Chum Creek",38.4,1990
"Churchill Island",0.95,1990
"Clarendon",5.99,1990
"Claretown",4.04,1990
"Clarinda",2312.23,1990
"Clarkefield",3.09,1990
"Clarkes Hill",4.81,1990
"Clayton",1333.86,1990
"Clayton South",1331.96,1990
"Clematis",180.8,1990
"Clifton Hill",3181.48,1990
"Clifton Springs",836.25,1990
"Clonbinane",0.62,1990
"Cloverlea",6.07,1990
"Clyde",9.45,1990
"Clyde North",4.52,1990
"Clydesdale",2.26,1990
"Cobaw",5.77,1990
"Cobblebank",15.79,1990
"Coburg",2997.53,1990
"Coburg North",1281.16,1990
"Cockatoo",119.02,1990
"Cocoroc",0.01,1990
"Coimadai",3.35,1990
"Colbrook",2.26,1990
"Coldstream",34.95,1990
"Collingwood",3453.18,1990
"Connewarre",4.81,1990
"Coolaroo",1046.44,1990
"Coomoora",31.39,1990
"Cora Lynn",7.6,1990
"Corinella",36.26,1990
"Corio",832.09,1990
"Coronet Bay",106.85,1990
"Cottles Bridge",34.32,1990
"Cowes",123.74,1990
"Craigieburn",283.46,1990
"Cranbourne",552.52,1990
"Cranbourne East",31.89,1990
"Cranbourne North",646.31,1990
"Cranbourne South",43.13,1990
"Cranbourne West",186.53,1990
"Cremorne",2268.6,1990
"Crib Point",296.41,1990
"Crossover",9.45,1990
"Croydon",1515.87,1990
"Croydon Hills",2218.23,1990
"Croydon North",1929.62,1990
"Croydon South",1640.47,1990
"Curlewis",9.24,1990
"Dales Creek",125.13,1990
"Dallas",2410.47,1990
"Dalmore",8.01,1990
"Dalyston",14.13,1990
"Dandenong",1768.28,1990
"Dandenong North",2439.19,1990
"Dandenong South",14.63,1990
"Darley",157.21,1990
"Darnum",13.65,1990
"Darraweit Guim",4.66,1990
"Daylesford",65.94,1990
"Dean",5.31,1990
"Deanside",9.87,1990
"Deepdene",2251.24,1990
"Deer Park",830.42,1990
"Delahey",2471.02,1990
"Denver",7.54,1990
"Derrimut",190.06,1990
"Devils River",0.52,1990
"Devon Meadows",32.74,1990
"Dewhurst",16.61,1990
"Diamond Creek",607.12,1990
"Diggers Rest",23.73,1990
"Dingley Village",1336.05,1990
"Dixons Creek",6.74,1990
"Docklands",48.95,1990
"Don Valley",41.46,1990
"Doncaster",2129.13,1990
"Doncaster East",2495.3,1990
"Donnybrook",3.08,1990
"Donvale",1093.59,1990
"Doreen",33.84,1990
"Doveton",1818.26,1990
"Dromana",127.19,1990
"Drouin",125.97,1990
"Drouin East",15.69,1990
"Drouin South",5.77,1990
"Drouin West",10.19,1990
"Drumcondra",2288.26,1990
"Drummond",4.19,1990
"Drummond North",5.71,1990
"Dry Diggings",2.74,1990
"Drysdale",63.79,1990
"Dunnstown",10.77,1990
"Durdidwarrah",0.93,1990
"Eaglemont",1840.8,1990
"East Geelong",1123.75,1990
"East Melbourne",1344.7,1990
"East Warburton",4.94,1990
"Eastern View",1.5,1990
"Eden Park",28.84,1990
"Edgecombe",13.48,1990
"Edithvale",2456.3,1990
"Eganstown",5.08,1990
"Eildon",1.76,1990
"Elaine",1.9,1990
"Elevated Plains",2.08,1990
"Elizabeth Island",0,1990
"Ellinbank",8.18,1990
"Elsternwick",3429.13,1990
"Eltham",1241.19,1990
"Eltham North",1927.65,1990
"Elwood",4466.7,1990
"Emerald",88.65,1990
"Endeavour Hills",1651.83,1990
"Epping",433.16,1990
"Essendon",2856.1,1990
"Essendon Fields",28.95,1990
"Essendon North",2577.27,1990
"Essendon West",1259.16,1990
"Eumemmerring",1647.16,1990
"Exford",21.26,1990
"Eynesbury",1.84,1990
"Fairbank",3.64,1990
"Fairfield",1492.85,1990
"Fairhaven",48.63,1990
"Fawcett",0.95,1990
"Fawkner",2271.62,1990
"Fern Hill",5.34,1990
"Ferndale",2.81,1990
"Fernshaw",0,1990
"Ferntree Gully",1951.84,1990
"Ferny Creek",342.52,1990
"Fieldstone",2.45,1990
"Fingal",14.71,1990
"Fiskville",2.06,1990
"Fitzroy",5205.81,1990
"Fitzroy North",4080.42,1990
"Flemington",2119.25,1990
"Flinders",14.81,1990
"Flowerdale",4.29,1990
"Footscray",1956.14,1990
"Forbes",3.32,1990
"Forest Hill",2494.34,1990
"Franklinford",2.17,1990
"Frankston",1842.28,1990
"Frankston North",1169.6,1990
"Frankston South",1121.89,1990
"Fraser Rise",2.86,1990
"French Island",0.43,1990
"Freshwater Creek",6.98,1990
"Fryerstown",3.62,1990
"Fyansford",12.8,1990
"Gainsborough",11.35,1990
"Gardenvale",3236.17,1990
"Garfield",45.34,1990
"Garfield North",7.99,1990
"Geelong",1362.2,1990
"Geelong West",2830.95,1990
"Gembrook",8.04,1990
"Gentle Annie",0,1990
"Gherang",9.42,1990
"Gheringhap",1.8,1990
"Ghin Ghin",0.58,1990
"Gilderoy",5.82,1990
"Gisborne",54.46,1990
"Gisborne South",32.23,1990
"Gladstone Park",2299.67,1990
"Gladysdale",18.44,1990
"Glen Alvie",4.49,1990
"Glen Forbes",4.87,1990
"Glen Huntly",4149.76,1990
"Glen Iris",2693.27,1990
"Glen Waverley",2223.99,1990
"Glenaroua",1.1,1990
"Glenburn",2.11,1990
"Glenluce",1.9,1990
"Glenlyon",4.21,1990
"Glenmore",1.3,1990
"Glenroy",1785.91,1990
"Gnarwarre",2.31,1990
"Goldie",3.57,1990
"Gordon",19.61,1990
"Gowanbrae",1463.11,1990
"Grangefields",4.55,1990
"Grantville",32.24,1990
"Greendale",7.99,1990
"Greenhill",5.92,1990
"Greensborough",2117.73,1990
"Greenvale",264.65,1990
"Grovedale",1283.62,1990
"Gruyere",14.78,1990
"Guildford",5.87,1990
"Guys Hill",21.35,1990
"Hadfield",1542.18,1990
"Hallam",963.69,1990
"Hallora",4.74,1990
"Hallston",2.92,1990
"Hamlyn Heights",1548.22,1990
"Hampton",2621.05,1990
"Hampton East",2940.03,1990
"Hampton Park",1129.87,1990
"Harkaway",40.77,1990
"Harkness",80.99,1990
"Harmers Haven",12.87,1990
"Hastings",224.82,1990
"Hawthorn",3338.21,1990
"Hawthorn East",3359.58,1990
"Healesville",44.56,1990
"Heath Hill",3.62,1990
"Heathcote Junction",37.91,1990
"Heatherton",291.24,1990
"Heathmont",1959.46,1990
"Heidelberg",1767.52,1990
"Heidelberg Heights",2695.04,1990
"Heidelberg West",1730.48,1990
"Hepburn",111.52,1990
"Hepburn Springs",89.54,1990
"Herne Hill",2220.52,1990
"Hesket",5.26,1990
"High Camp",1.5,1990
"Highett",2433.05,1990
"Highlands",0.82,1990
"Highton",1027.67,1990
"Hillside",639.44,1990
"Hmas Cerberus",49.76,1990
"Hoddles Creek",13.18,1990
"Homewood",1.37,1990
"Hopetoun Park",44.72,1990
"Hoppers Crossing",1622.28,1990
"Howes Creek",1.42,1990
"Hughesdale",2956.74,1990
"Humevale",5.34,1990
"Huntingdale",2005.41,1990
"Hurstbridge",275.16,1990
"Indented Head",138.98,1990
"Ingliston",0.98,1990
"Inverleigh",4.12,1990
"Inverloch",35.13,1990
"Iona",6.98,1990
"Irishtown",2.84,1990
"Ivanhoe",1991.02,1990
"Ivanhoe East",1784.47,1990
"Jacana",1472.15,1990
"Jam Jerrup",5.96,1990
"Jan Juc",262.98,1990
"Jeetho",4.16,1990
"Jindivick",6.33,1990
"Jumbunna",3.83,1990
"Junction Village",365.77,1990
"Kalkallo",0.67,1990
"Kallista",134.07,1990
"Kalorama",165.71,1990
"Kangaroo Ground",36.39,1990
"Kardella",8.27,1990
"Kardella South",8.98,1990
"Kealba",1554.47,1990
"Keilor",702.41,1990
"Keilor Downs",2508.69,1990
"Keilor East",1583.75,1990
"Keilor Lodge",1923.62,1990
"Keilor North",30.02,1990
"Keilor Park",1008.1,1990
