"suburb","built_up","year"
"Bonbeach",1671.34,2005
"Boneo",56.01,2005
"Bonnie Brook",40.16,2005
"Boonah",1.64,2005
"Boronia",1519.5,2005
"Botanic Ridge",148.86,2005
"Box Hill",1963.07,2005
"Box Hill North",1975.19,2005
"Box Hill South",1798.84,2005
"Braeside",1140.5,2005
"Brandy Creek",30.23,2005
"Bravington",32.22,2005
"Braybrook",2101.56,2005
"Breakwater",1318.9,2005
"Breamlea",100.31,2005
"Briar Hill",1649.53,2005
"Brighton",2162.06,2005
"Brighton East",2086.35,2005
"Broadford",60.28,2005
"Broadmeadows",1666.65,2005
"Brookfield",391.88,2005
"Brooklyn",1726.61,2005
"Brunswick",2661.01,2005
"Brunswick East",2198.4,2005
"Brunswick West",2232.04,2005
"Buckley",11.94,2005
"Buffalo",11.68,2005
"Bulla",52.98,2005
"Bullarook",13.97,2005
"Bullarto",7.15,2005
"Bullarto South",5.43,2005
"Bulleen",1430.24,2005
"Bullengarook",8.63,2005
"Buln Buln",41.15,2005
"Buln Buln East",12.82,2005
"Bunding",10.05,2005
"Bundoora",1090.76,2005
"Bungal",4.58,2005
"Bungaree",24.53,2005
"Bunyip",137.89,2005
"Bunyip North",19.01,2005
"Burnley",678.96,2005
"Burnside",1087.8,2005
"Burnside Heights",830.07,2005
"Burwood",1848.58,2005
"Burwood East",1879.54,2005
"Buxton",11.07,2005
"Bylands",6.74,2005
"Cadello",19.4,2005
"Cairnlea",1348.59,2005
"Calder Park",79.24,2005
"Caldermeade",16.75,2005
"Cambarville",0.02,2005
"Camberwell",2006.54,2005
"Campbellfield",2086.24,2005
"Campbelltown",4.92,2005
"Cannons Creek",122.32,2005
"Canterbury",2004.64,2005
"Cape Paterson",144.99,2005
"Cape Schanck",40.97,2005
"Cape Woolamai",616.41,2005
"Capel Sound",1515.27,2005
"Cardinia",37.96,2005
"Carlsruhe",16.52,2005
"Carlton",2555.31,2005
"Carlton North",1862.02,2005
"Carnegie",2390.4,2005
"Caroline Springs",1122.06,2005
"Carrum",2246.08,2005
"Carrum Downs",979.44,2005
"Castella",8.83,2005
"Catani",32.25,2005
"Cathkin",2.81,2005
"Caulfield",2576.67,2005
"Caulfield East",1238.85,2005
"Caulfield North",2415.23,2005
"Caulfield South",2380.41,2005
"Ceres",46.14,2005
"Chadstone",1953.48,2005
"Charlemont",99.38,2005
"Chelsea",2359.07,2005
"Chelsea Heights",1531.63,2005
"Cheltenham",2090.09,2005
"Cherokee",7.97,2005
"Chintin",8.05,2005
"Chirnside Park",353.27,2005
"Christmas Hills",9.75,2005
"Chum Creek",24.82,2005
"Churchill Island",17,2005
"Clarendon",15.78,2005
"Claretown",12.76,2005
"Clarinda",1489.31,2005
"Clarkefield",9.3,2005
"Clarkes Hill",16.37,2005
"Clayton",2288.96,2005
"Clayton South",1761.67,2005
"Clematis",46.38,2005
"Clifton Hill",1989.83,2005
"Clifton Springs",1297.07,2005
"Clonbinane",2.01,2005
"Cloverlea",21.72,2005
"Clyde",80.84,2005
"Clyde North",71.02,2005
"Clydesdale",7.12,2005
"Cobaw",10.73,2005
"Cobblebank",108.4,2005
"Coburg",2286.7,2005
"Coburg North",1895.44,2005
"Cockatoo",50.36,2005
"Cocoroc",7.74,2005
"Coimadai",13.08,2005
"Colbrook",6.98,2005
"Coldstream",61.63,2005
"Collingwood",2842.86,2005
"Connewarre",22.99,2005
"Coolaroo",2081.14,2005
"Coomoora",27.53,2005
"Cora Lynn",43.5,2005
"Corinella",112.21,2005
"Corio",1074.99,2005
"Coronet Bay",400.17,2005
"Cottles Bridge",17.46,2005
"Cowes",548.86,2005
"Craigieburn",552.28,2005
"Cranbourne",941.75,2005
"Cranbourne East",312.48,2005
"Cranbourne North",944.08,2005
"Cranbourne South",178.79,2005
"Cranbourne West",464.79,2005
"Cremorne",2645.49,2005
"Crib Point",535.62,2005
"Crossover",17.1,2005
"Croydon",1363.92,2005
"Croydon Hills",1302.12,2005
"Croydon North",1219.55,2005
"Croydon South",1664.59,2005
"Curlewis",52.61,2005
"Dales Creek",50.19,2005
"Dallas",2069.3,2005
"Dalmore",52.99,2005
"Dalyston",48.25,2005
"Dandenong",2043.05,2005
"Dandenong North",1581.33,2005
"Dandenong South",1551.65,2005
"Darley",276.11,2005
"Darnum",42.46,2005
"Darraweit Guim",9.66,2005
"Daylesford",116.13,2005
"Dean",13.68,2005
"Deanside",55.67,2005
"Deepdene",1980.98,2005
"Deer Park",1560.6,2005
"Delahey",1658.36,2005
"Denver",10.46,2005
"Derrimut",779.44,2005
"Devils River",1.4,2005
"Devon Meadows",219.99,2005
"Dewhurst",23.03,2005
"Diamond Creek",388.77,2005
"Diggers Rest",55.37,2005
"Dingley Village",1254.07,2005
"Dixons Creek",19.68,2005
"Docklands",1651.24,2005
"Don Valley",25.87,2005
"Doncaster",1682.45,2005
"Doncaster East",1705.23,2005
"Donnybrook",14.52,2005
"Donvale",724.85,2005
"Doreen",169.67,2005
"Doveton",1780.47,2005
"Dromana",346.98,2005
"Drouin",182.79,2005
"Drouin East",36.74,2005
"Drouin South",23.6,2005
"Drouin West",33.41,2005
"Drumcondra",2429.69,2005
"Drummond",9.07,2005
"Drummond North",10.52,2005
"Dry Diggings",7.66,2005
"Drysdale",168.19,2005
"Dunnstown",26.32,2005
"Durdidwarrah",3.44,2005
"Eaglemont",1481.15,2005
"East Geelong",1412,2005
"East Melbourne",1393.72,2005
"East Warburton",2.32,2005
"Eastern View",6.16,2005
"Eden Park",53.28,2005
"Edgecombe",20.31,2005
"Edithvale",2223.39,2005
"Eganstown",4.31,2005
"Eildon",5.49,2005
"Elaine",7.35,2005
"Elevated Plains",9.02,2005
"Elizabeth Island",18.03,2005
"Ellinbank",27.24,2005
"Elsternwick",2483.09,2005
"Eltham",668.16,2005
"Eltham North",1011.34,2005
"Elwood",2165.47,2005
"Emerald",40.45,2005
"Endeavour Hills",1084.09,2005
"Epping",654.72,2005
"Essendon",2255.32,2005
"Essendon Fields",594.77,2005
"Essendon North",2028.81,2005
"Essendon West",1133.33,2005
"Eumemmerring",1596.23,2005
"Exford",33.5,2005
"Eynesbury",7.98,2005
"Fairbank",13.06,2005
"Fairfield",1348.94,2005
"Fairhaven",216.03,2005
"Fawcett",3.34,2005
"Fawkner",2047.08,2005
"Fern Hill",16.08,2005
"Ferndale",8.89,2005
"Fernshaw",0,2005
"Ferntree Gully",1604.01,2005
"Ferny Creek",90.4,2005
"Fieldstone",41.59,2005
"Fingal",93.87,2005
"Fiskville",12.16,2005
"Fitzroy",2653.05,2005
"Fitzroy North",2360.39,2005
"Flemington",1456.08,2005
"Flinders",52.67,2005
"Flowerdale",5.42,2005
"Footscray",2100.38,2005
"Forbes",9.76,2005
"Forest Hill",1773.97,2005
"Franklinford",7.52,2005
"Frankston",1726.12,2005
"Frankston North",1010.65,2005
"Frankston South",1015.29,2005
"Fraser Rise",56.39,2005
"French Island",3.96,2005
"Freshwater Creek",25.34,2005
"Fryerstown",8.12,2005
"Fyansford",52.37,2005
"Gainsborough",40.43,2005
"Gardenvale",2323.8,2005
"Garfield",95.84,2005
"Garfield North",19.1,2005
"Geelong",2446.79,2005
"Geelong West",2852.4,2005
"Gembrook",6.42,2005
"Gentle Annie",0.02,2005
"Gherang",22.1,2005
"Gheringhap",19.95,2005
"Ghin Ghin",3.3,2005
"Gilderoy",3.32,2005
"Gisborne",65.75,2005
"Gisborne South",47.39,2005
"Gladstone Park",1815.78,2005
"Gladysdale",20.83,2005
"Glen Alvie",20.31,2005
"Glen Forbes",24.92,2005
"Glen Huntly",2330.21,2005
"Glen Iris",1865.74,2005
"Glen Waverley",1741.4,2005
"Glenaroua",4.19,2005
"Glenburn",5.38,2005
"Glenluce",3.59,2005
"Glenlyon",7.48,2005
"Glenmore",6.5,2005
"Glenroy",1759.72,2005
"Gnarwarre",13.62,2005
"Goldie",10.21,2005
"Gordon",18.98,2005
"Gowanbrae",1028.96,2005
"Grangefields",34.73,2005
"Grantville",78.84,2005
"Greendale",6.32,2005
"Greenhill",11.97,2005
"Greensborough",1242.1,2005
"Greenvale",332.43,2005
"Grovedale",1863.36,2005
"Gruyere",23.58,2005
"Guildford",10.67,2005
"Guys Hill",71.71,2005
"Hadfield",1762.94,2005
"Hallam",1879.35,2005
"Hallora",21.63,2005
"Hallston",11.01,2005
"Hamlyn Heights",1623.29,2005
"Hampton",2212.63,2005
"Hampton East",2209.92,2005
"Hampton Park",1222.27,2005
"Harkaway",77.39,2005
"Harkness",160.91,2005
"Harmers Haven",76.89,2005
"Hastings",532.35,2005
"Hawthorn",2085.29,2005
"Hawthorn East",2265.93,2005
"Healesville",41.63,2005
"Heath Hill",20.32,2005
"Heathcote Junction",69.22,2005
"Heatherton",672.1,2005
"Heathmont",1419.21,2005
"Heidelberg",1745.72,2005
"Heidelberg Heights",2191.57,2005
"Heidelberg West",2125.99,2005
"Hepburn",206.32,2005
"Hepburn Springs",167.33,2005
"Herne Hill",2285.41,2005
"Hesket",14.52,2005
"High Camp",5.6,2005
"Highett",2225.39,2005
"Highlands",4.63,2005
"Highton",1319.11,2005
"Hillside",1472.02,2005
"Hmas Cerberus",100.39,2005
"Hoddles Creek",14.8,2005
"Homewood",5.64,2005
"Hopetoun Park",78.07,2005
"Hoppers Crossing",2217.86,2005
"Howes Creek",4.8,2005
"Hughesdale",2348.76,2005
"Humevale",10.08,2005
"Huntingdale",2604.35,2005
"Hurstbridge",123.55,2005
"Indented Head",673.92,2005
"Ingliston",4.61,2005
"Inverleigh",13.82,2005
"Inverloch",94.8,2005
"Iona",31.54,2005
"Irishtown",5.46,2005
"Ivanhoe",1680.91,2005
"Ivanhoe East",1392.09,2005
"Jacana",1305.81,2005
"Jam Jerrup",25.08,2005
"Jan Juc",703.63,2005
"Jeetho",14.22,2005
"Jindivick",19.06,2005
"Jumbunna",18.17,2005
"Junction Village",724.2,2005
"Kalkallo",26.95,2005
"Kallista",25.02,2005
"Kalorama",28.31,2005
"Kangaroo Ground",29.47,2005
"Kardella",18.66,2005
"Kardella South",32.38,2005
"Kealba",1196.08,2005
"Keilor",574.18,2005
"Keilor Downs",1862.76,2005
"Keilor East",1407.9,2005
"Keilor Lodge",1944.48,2005
"Keilor North",31.51,2005
"Keilor Park",1169.42,2005
"Kensington",2331.72,2005
"Kernot",12.47,2005
"Kerrie",9.68,2005
"Kerrisdale",6.15,2005
"Kew",1660.4,2005
"Kew East",1142.59,2005
"Keysborough",994.29,2005
"Kilcunda",56.74,2005
"Killingworth",6.92,2005
"Kilmore",97.53,2005
"Kilmore East",9.68,2005
"Kilsyth",1206.34,2005
"Kilsyth South",1017.08,2005
"Kinglake",8.65,2005
"Kinglake Central",11.33,2005
"Kinglake West",16.6,2005
"Kings Park",2416.69,2005
"Kingsbury",1910.44,2005
"Kingsville",2631.63,2005
"Knoxfield",1704.23,2005
"Kongwak",17.91,2005
"Koo Wee Rup",80.23,2005
"Koo Wee Rup North",35.53,2005
"Koonwarra",25.84,2005
"Kooroocheang",5.38,2005
"Koorooman",23.53,2005
"Kooyong",1279.17,2005
"Koriella",4.07,2005
"Korobeit",9.09,2005
"Korumburra",98.72,2005
"Korumburra South",15.6,2005
"Korweinguboora",3.33,2005
"Krowera",14.74,2005
"Kurunjang",691.59,2005
"Kyneton",81.73,2005
"Kyneton South",13.91,2005
"Labertouche",20.85,2005
"Lake Eildon",0.29,2005
"Lal Lal",7.76,2005
"Lalor",1685.17,2005
"Lance Creek",21.8,2005
"Lancefield",25.84,2005
"Lang Lang",33.44,2005
"Lang Lang East",23.03,2005
"Langdons Hill",8.55,2005
"Langley",7.54,2005
"Langwarrin",667.04,2005
"Langwarrin South",232.56,2005
"Lara",250.4,2005
"Lardner",32.86,2005
"Launching Place",44.58,2005
"Lauriston",13.27,2005
"Laverton",1330.52,2005
"Laverton North",1665.5,2005
"Leonards Hill",3.76,2005
"Leongatha",207.16,2005
"Leongatha North",19.33,2005
"Leongatha South",17.36,2005
"Leopold",401.12,2005
"Lerderderg",0.1,2005
"Lethbridge",25.45,2005
"Lillico",40.7,2005
"Lilydale",500.41,2005
"Limestone",1.85,2005
"Little Hampton",15.13,2005
"Little River",20.94,2005
"Loch",23.34,2005
"Loch Valley",0.02,2005
"Long Forest",29.9,2005
"Longwarry",52.36,2005
"Longwarry North",44.67,2005
"Lorne",30.99,2005
"Lovely Banks",124.44,2005
"Lower Plenty",525.97,2005
"Lynbrook",770.55,2005
"Lyndhurst",222.35,2005
"Lyonville",5.04,2005
"Lysterfield",168.55,2005
"Lysterfield South",204.29,2005
"Macclesfield",20.12,2005
"Macedon",41.11,2005
"Macleod",1461.24,2005
"Maddingley",174.15,2005
"Maidstone",2220.59,2005
"Main Ridge",40.98,2005
"Maintongoon",3.61,2005
"Malmsbury",27.04,2005
"Malvern",2318.94,2005
"Malvern East",1896.31,2005
"Mambourin",1.26,2005
"Manifold Heights",2759.56,2005
"Mannerim",14.67,2005
"Manor Lakes",89.4,2005
"Marcus Hill",43.3,2005
"Maribyrnong",1489.53,2005
"Marshall",663.9,2005
"Maryknoll",142.69,2005
"Marysville",3.11,2005
"Maude",12.84,2005
"McCrae",1007.14,2005
"McKinnon",2368.42,2005
"McMahons Creek",0.46,2005
"Meadow Heights",1830.57,2005
"Meeniyan",36.38,2005
"Melbourne",1461.64,2005
"Melbourne Airport",243.6,2005
"Melton",510.95,2005
"Melton South",1431.13,2005
"Melton West",768.45,2005
"Mentone",2282.63,2005
"Menzies Creek",35.48,2005
"Meredith",11.84,2005
"Mernda",174.16,2005
"Merricks",29.07,2005
"Merricks Beach",205.26,2005
"Merricks North",27.45,2005
"Merrimu",31.63,2005
"Metcalfe East",10.7,2005
"Mickleham",27.16,2005
"Middle Park",2149.37,2005
"Middle Tarwin",13.31,2005
"Mill Park",1751.35,2005
"Millbrook",12.47,2005
"Millgrove",88.75,2005
"Mitcham",1686.76,2005
"Modella",22.18,2005
"Modewarre",20.62,2005
"Moggs Creek",76.57,2005
"Molesworth",3.58,2005
"Mollongghip",9.03,2005
"Monbulk",200.68,2005
"Monegeetta",20.03,2005
"Monomeith",12.03,2005
"Mont Albert",1885.64,2005
"Mont Albert North",1712.4,2005
"Montmorency",1450.59,2005
"Montrose",374.42,2005
"Moolap",240.64,2005
"Moonee Ponds",2162.84,2005
"Moorabbin",2699.02,2005
"Moorabbin Airport",574.15,2005
"Moorabool",24.89,2005
"Moorooduc",74.68,2005
"Mooroolbark",1169.33,2005
"Moranding",9.45,2005
"Mordialloc",1992.73,2005
"Moriac",75.9,2005
"Mornington",1202.68,2005
"Morrisons",4.51,2005
"Mount Burnett",14.08,2005
"Mount Cottrell",31.06,2005
"Mount Dandenong",31.11,2005
"Mount Doran",12.78,2005
"Mount Duneed",47.09,2005
"Mount Eccles",15.22,2005
"Mount Eccles South",13.87,2005
"Mount Egerton",10.89,2005
"Mount Eliza",799.11,2005
"Mount Evelyn",351.31,2005
"Mount Franklin",9.64,2005
"Mount Macedon",16.91,2005
"Mount Martha",657.21,2005
"Mount Moriac",22.98,2005
"Mount Prospect",11.58,2005
"Mount Toolebewong",2.24,2005
"Mount Wallace",6.93,2005
"Mount Waverley",1814.64,2005
"Mountain View",15.91,2005
"Moyarra",19.59,2005
"Mulgrave",1837.75,2005
"Murgheboluc",13.4,2005
"Murrindindi",1.88,2005
"Murrumbeena",2178.53,2005
"Musk",22.09,2005
"Musk Vale",7.72,2005
"Myrniong",13.48,2005
"Nangana",12.75,2005
"Nar Nar Goon",55,2005
"Nar Nar Goon North",21.62,2005
"Narbethong",2.04,2005
"Narre Warren",1540.12,2005
"Narre Warren East",68.72,2005
"Narre Warren North",341.91,2005
"Narre Warren South",1189.19,2005
"Nayook",16.06,2005
"Neerim",22.61,2005
"Neerim East",4.06,2005
"Neerim Junction",19.66,2005
"Neerim North",5.98,2005
"Neerim South",28.61,2005
"Nerrena",22.17,2005
"New Gisborne",89.64,2005
"Newbury",14.69,2005
"Newcomb",1619.86,2005
"Newham",16.67,2005
"Newhaven",225.52,2005
"Newlyn",22.6,2005
"Newlyn North",25.56,2005
"Newport",2006.53,2005
"Newtown",1958.61,2005
"Niddrie",2156.8,2005
"Nilma",96.8,2005
"Nilma North",30.26,2005
"Noble Park",2258.91,2005
"Noble Park North",2055.61,2005
"Noojee",3.52,2005
"Norlane",2276.23,2005
"North Blackwood",9.77,2005
"North Geelong",1877.59,2005
"North Melbourne",2281.91,2005
"North Shore",1225.91,2005
"North Warrandyte",119.38,2005
"North Wonthaggi",294.31,2005
"Northcote",2355.86,2005
"Notting Hill",2146.13,2005
"Nulla Vale",4.32,2005
"Nunawading",1913.42,2005
"Nutfield",19.78,2005
"Nyora",36.28,2005
"Oak Park",2155.69,2005
"Oaklands Junction",24.3,2005
"Oakleigh",2227.81,2005
"Oakleigh East",2172.17,2005
"Oakleigh South",1475.58,2005
"Ocean Grove",915.31,2005
"Officer",128.39,2005
"Officer South",16,2005
"Olinda",24.48,2005
"Ormond",2292.56,2005
"Outtrim",15.17,2005
"Pakenham",283.38,2005
"Pakenham South",36.97,2005
"Pakenham Upper",26.37,2005
"Panton Hill",37.31,2005
"Paraparap",13.94,2005
"Park Orchards",333.76,2005
"Parkdale",2378.52,2005
"Parkville",1128.88,2005
"Parwan",11.5,2005
"Pascoe Vale",2285.25,2005
"Pascoe Vale South",2163.47,2005
"Pastoria",5.92,2005
"Pastoria East",6.87,2005
"Patterson Lakes",1472.29,2005
"Pearcedale",215.47,2005
"Pentland Hills",17.36,2005
"Pheasant Creek",16.14,2005
"Piedmont",15.33,2005
"Pioneer Bay",1752.66,2005
"Pipers Creek",13.37,2005
"Plenty",214.29,2005
"Plumpton",17.87,2005
"Point Cook",457.98,2005
"Point Leo",122.5,2005
"Point Lonsdale",459.05,2005
"Point Wilson",2.64,2005
"Poowong",33.18,2005
"Poowong East",15.18,2005
"Poowong North",22.37,2005
"Porcupine Ridge",7.77,2005
"Port Melbourne",1866.68,2005
"Portarlington",331.59,2005
"Portsea",452.56,2005
"Pound Creek",15.06,2005
"Powelltown",5.19,2005
"Prahran",2633.22,2005
"Preston",2405.94,2005
"Princes Hill",2284.87,2005
"Pyalong",9.74,2005
"Quandong",1.93,2005
"Queenscliff",888.29,2005
"Queensferry",20.42,2005
"Ranceby",11.36,2005
"Ravenhall",234.07,2005
"Red Hill",53.06,2005
"Red Hill South",57.3,2005
"Reedy Creek",7.17,2005
"Reefton",0.22,2005
"Research",250.68,2005
"Reservoir",2131.31,2005
"Rhyll",99.93,2005
"Richmond",2525.26,2005
"Riddells Creek",61,2005
"Ringwood",1620.37,2005
"Ringwood East",1578.3,2005
"Ringwood North",1191.38,2005
"Ripplebrook",27.63,2005
"Rippleside",2083.14,2005
"Ripponlea",2056.91,2005
"Rochford",13.98,2005
"Rockbank",151.65,2005
"Rocklyn",11.77,2005
"Rokeby",41.06,2005
"Romsey",55.99,2005
"Rosanna",1822.05,2005
"Rosebud",1090.44,2005
"Rowsley",14.32,2005
"Rowville",1173.32,2005
"Roxburgh Park",1321.63,2005
"Rubicon",0.88,2005
"Ruby",26.42,2005
"Russells Bridge",20.51,2005
"Ryanston",13.9,2005
"Rye",1281.48,2005
"Rythdale",21.99,2005
"Safety Beach",995.82,2005
"Sailors Falls",13.02,2005
"Sailors Hill",25.48,2005
"San Remo",147.69,2005
"Sandhurst",181.17,2005
"Sandon",8.3,2005
"Sandringham",2015.71,2005
"Sassafras",48.97,2005
"Scoresby",945.28,2005
"Seabrook",2243.43,2005
"Seaford",1564.27,2005
"Seaholme",1775.77,2005
"Seaview",8.29,2005
"Seddon",2782.87,2005
"Selby",51.7,2005
"Seville",106.36,2005
"Seville East",59.61,2005
"She Oaks",16.87,2005
"Shelford",5.59,2005
"Shepherds Flat",7.86,2005
"Sherbrooke",17.06,2005
"Shoreham",68.97,2005
"Sidonia",5.5,2005
"Silvan",85.8,2005
"Silverleaves",433.42,2005
"Skye",272.22,2005
"Smeaton",12.93,2005
"Smiths Beach",996.08,2005
"Smiths Gully",10.14,2005
"Somers",216.56,2005
"Somerton",1375.37,2005
"Somerville",352.61,2005
"Sorrento",1365.71,2005
"South Dudley",364.84,2005
"South Geelong",2052.45,2005
"South Kingsville",2138.11,2005
"South Melbourne",2594.88,2005
"South Morang",453.09,2005
"South Wharf",2106.06,2005
"South Yarra",2131.27,2005
"Southbank",2086.71,2005
"Spargo Creek",5.17,2005
"Spotswood",1600.42,2005
"Spring Hill",8.16,2005
"Springbank",16.31,2005
"Springfield",7.93,2005
"Springvale",1843.35,2005
"Springvale South",1775.89,2005
"St Albans",2310.01,2005
"St Albans Park",1184.15,2005
"St Andrews",18.84,2005
"St Andrews Beach",743.08,2005
"St Clair",14.42,2005
"St Helena",1172.43,2005
"St Kilda",2022.7,2005
"St Kilda East",2348.73,2005
"St Kilda West",1904.44,2005
"St Leonards",221.94,2005
"Staughton Vale",6.94,2005
"Steels Creek",11.28,2005
"Steiglitz",3.47,2005
"Stonehaven",13.56,2005
"Strangways",16.01,2005
"Strath Creek",5.82,2005
"Strathewen",9.73,2005
"Strathlea",6.87,2005
"Strathmore",1808.6,2005
"Strathmore Heights",1004.42,2005
"Strathtulloh",29.41,2005
"Strzelecki",9.86,2005
"Sugarloaf Creek",12.14,2005
"Summerlands",18.17,2005
"Sunbury",228.58,2005
"Sunday Creek",38.66,2005
"Sunderland Bay",601.26,2005
"Sunset Strip",1485.14,2005
"Sunshine",2090.8,2005
"Sunshine North",1846.22,2005
"Sunshine West",2103.31,2005
"Surf Beach",559.48,2005
"Surrey Hills",2036.26,2005
"Sutherlands Creek",17.18,2005
"Swan Bay",8.07,2005
"Swan Island",70.05,2005
"Sydenham",2064.83,2005
"Taggerty",5.47,2005
"Tallarook",9.78,2005
"Tantaraboo",14.13,2005
"Taradale",9.38,2005
"Tarilta",11.97,2005
"Tarneit",222.1,2005
"Tarrawarra",15.46,2005
"Tarwin",11.22,2005
"Tarwin Lower",9.51,2005
"Taylor Bay",12.47,2005
"Taylors Hill",1207.58,2005
"Taylors Lakes",1931.11,2005
"Tecoma",364.76,2005
"Teesdale",33.99,2005
"Templestowe",791.88,2005
"Templestowe Lower",1670.88,2005
"Tenby Point",226.04,2005
"Tetoora Road",16.92,2005
"The Basin",469.12,2005
"The Gurdies",19.71,2005
"The Patch",83.1,2005
"Thomastown",1632.17,2005
"Thomson",2159.79,2005
"Thornbury",2360.61,2005
"Thornhill Park",30.96,2005
"Thornton",11.56,2005
"Three Bridges",3.87,2005
"Tonimbuk",11.78,2005
"Toolangi",2.77,2005
"Toolern Vale",21.55,2005
"Tooradin",95.41,2005
"Toorak",2230.25,2005
"Tootgarook",1935.29,2005
"Torquay",366.48,2005
"Torwood",18.96,2005
"Tottenham",2702.37,2005
"Travancore",1691.05,2005
"Trawool",4.63,2005
"Tremont",13.74,2005
"Trentham",26.32,2005
"Trentham East",8.94,2005
"Trida",6.23,2005
"Truganina",150.32,2005
"Tuerong",27.74,2005
"Tullamarine",2119.57,2005
"Tyaak",9.85,2005
"Tyabb",217.34,2005
"Tylden",15.82,2005
"Tylden South",17.33,2005
"Tynong",52.78,2005
"Tynong North",19.72,2005
"Upper Ferntree Gully",562.12,2005
"Upper Plenty",17.78,2005
"Upwey",401.95,2005
"Vaughan",7.79,2005
"Ventnor",71.13,2005
"Venus Bay",213.42,2005
"Vermont",1613.26,2005
"Vermont South",1392.15,2005
"Vervale",31.24,2005
"Viewbank",1001.77,2005
"Wallace",28.98,2005
"Wallan",89.63,2005
"Wallington",72.78,2005
"Wandana Heights",742.24,2005
"Wandin East",98.54,2005
"Wandin North",179.38,2005
"Wandong",43.64,2005
"Wantirna",1226.71,2005
"Wantirna South",1081.92,2005
"Warburton",8.01,2005
"Warneet",228.21,2005
"Warragul",307.07,2005
"Warragul South",30.33,2005
"Warragul West",23.49,2005
"Warrandyte",238.71,2005
"Warrandyte South",178.36,2005
"Warranwood",928.73,2005
"Waterford Park",1040.48,2005
"Waterways",745.77,2005
"Watsonia",1835.79,2005
"Watsonia North",1327.06,2005
"Watsons Creek",24.43,2005
"Wattle Bank",18.41,2005
"Wattle Glen",79.69,2005
"Waurn Ponds",177.74,2005
"Weir Views",9.08,2005
"Wensleydale",3.43,2005
"Werona",6.09,2005
"Werribee",845.75,2005
"Werribee South",137.83,2005
"Wesburn",20.92,2005
"West Creek",16.9,2005
"West Footscray",2405.58,2005
"West Melbourne",1849.51,2005
"Westmeadows",1109.55,2005
"Whanregarwen",5.12,2005
"Wheatsheaf",3.87,2005
"Wheelers Hill",1448.71,2005
"Whitelaw",16.56,2005
"Whittington",2319.22,2005
"Whittlesea",45.29,2005
"Wild Dog Valley",13.49,2005
"Wildwood",13.17,2005
"Williams Landing",538.55,2005
"Williamstown",1950.29,2005
"Williamstown North",1860.94,2005
"Willowmavin",8.94,2005
"Wimbledon Heights",1467.83,2005
"Winchelsea",20.51,2005
"Winchelsea South",14.47,2005
"Windsor",2738.33,2005
"Wollert",32.89,2005
"Wonga Park",169.01,2005
"Wonthaggi",170.23,2005
"Woodend",62.42,2005
"Woodend North",31.59,2005
"Woodleigh",14.74,2005
"Woodstock",21.43,2005
"Woolamai",14.82,2005
"Wooreen",16.15,2005
"Woori Yallock",85.36,2005
"Wurdiboluc",16.93,2005
"Wyndham Vale",309.87,2005
"Yallambie",1120.72,2005
"Yan Yean",22.5,2005
"Yandoit",12.13,2005
"Yandoit Hills",9.22,2005
"Yannathan",34,2005
"Yarra Glen",90.04,2005
"Yarra Junction",138.16,2005
"Yarrambat",146.97,2005
"Yarraville",2176.53,2005
"Yea",17.74,2005
"Yellingbo",16.68,2005
"Yendon",21.84,2005
"Yering",25.6,2005
"Yuroke",40.8,2005
"Abbotsford",2246.9,2010
"Aberfeldie",1949.98,2010
"Acheron",8.04,2010
"Ada",0,2010
"Adams Estate",282.44,2010
"Aintree",5.78,2010
"Aireys Inlet",105.7,2010
"Airport West",2237.77,2010
"Albanvale",2259.49,2010
"Albert Park",1398.7,2010
"Albion",1666.72,2010
"Alexandra",61.67,2010
"Allambee",6.34,2010
"Almurta",12.46,2010
"Alphington",1517.89,2010
"Altona",1118.21,2010
"Altona Meadows",1334.78,2010
"Altona North",1743.99,2010
"Anakie",16.17,2010
"Anderson",19.47,2010
"Anglesea",75.61,2010
"Arawata",12.21,2010
"Archies Creek",153.02,2010
"Ardeer",1671.44,2010
"Armadale",2469.34,2010
"Armstrong Creek",37.97,2010
"Arthurs Creek",19.66,2010
"Arthurs Seat",68.11,2010
"Ascot Vale",2117.29,2010
"Ashbourne",9.4,2010
"Ashburton",1808.29,2010
"Ashwood",1807.23,2010
"Aspendale",1820.57,2010
"Aspendale Gardens",1289.51,2010
"Athlone",21.72,2010
"Attwood",540.99,2010
"Avalon",48.04,2010
"Avondale Heights",1707.4,2010
"Avonsleigh",56.8,2010
"Bacchus Marsh",637.56,2010
"Badger Creek",103.31,2010
"Balaclava",2654.21,2010
"Ballan",31.48,2010
"Balliang",7.85,2010
"Balliang East",11.07,2010
"Balnarring",125.98,2010
"Balnarring Beach",610.88,2010
"Balwyn",2095.36,2010
"Balwyn North",1705.66,2010
"Bambra",12.25,2010
"Bamganie",7.8,2010
"Bangholme",170.01,2010
"Bannockburn",96.72,2010
"Barkstead",1.41,2010
"Barrabool",23.69,2010
"Barrys Reef",5.48,2010
"Barwon Heads",886,2010
"Basalt",4.96,2010
"Bass",26.49,2010
"Batesford",85.97,2010
"Baxter",314.69,2010
"Bayles",52.83,2010
"Baynton",5.51,2010
"Bayswater",2165.39,2010
"Bayswater North",1743.54,2010
"Beaconsfield",500.24,2010
"Beaconsfield Upper",87.18,2010
"Beaumaris",2055.96,2010
"Beenak",5.59,2010
"Belgrave",329.23,2010
